timestamp,date,time,open,high,low,close,volume,count,ma5,ma10
20260326-09:30,20260326,09:30,176.54,176.69,176.54,176.63,1859106606088,5,178.16,178.215
20260326-09:35,20260326,09:35,176.63,176.63,176.55,176.59,2394962871993,5,177.748,178.079
20260326-09:40,20260326,09:40,176.45,176.58,175.93,175.98,2001181495120,5,177.274,177.881
20260326-09:45,20260326,09:45,176.11,176.15,175.71,176.15,5528304890054,5,176.812,177.67
20260326-09:50,20260326,09:50,175.89,175.89,175.69,175.82,7018393446487,5,176.234,177.401
20260326-09:55,20260326,09:55,175.41,175.78,175.28,175.78,9693188229145,5,176.064,177.112
20260326-10:00,20260326,10:00,175.88,175.88,175.56,175.56,10030711685261,5,175.858,176.803
20260326-10:05,20260326,10:05,175.59,175.85,175.59,175.85,18101633151029,5,175.832,176.553
20260326-10:10,20260326,10:10,175.78,175.82,175.24,175.24,20509630619265,5,175.65,176.231
20260326-10:15,20260326,10:15,175.71,175.71,175.58,175.64,19264995095015,5,175.614,175.924
20260326-10:20,20260326,10:20,175.58,175.79,175.37,175.37,20614565427055,5,175.532,175.798
20260326-10:25,20260326,10:25,175.3,175.3,175.15,175.19,28652919342165,5,175.458,175.658
20260326-10:30,20260326,10:30,175.17,175.32,175.17,175.32,31306815044692,5,175.352,175.59199999999998
20260326-10:35,20260326,10:35,175.22,175.3,175.15,175.3,33071443262531,5,175.364,175.507
20260326-10:40,20260326,10:40,175.22,175.26,175.03,175.04,34656977960067,5,175.244,175.429
20260326-10:45,20260326,10:45,174.87,174.93,174.75,174.75,29711034795406,5,175.12,175.326
20260326-10:50,20260326,10:50,174.95,174.95,174.59,174.59,39272697139990,5,175.0,175.22899999999998
20260326-10:55,20260326,10:55,174.79,174.79,174.19,174.19,34682697226687,5,174.774,175.063
20260326-11:00,20260326,11:00,173.96,173.96,173.71,173.71,37469456715089,5,174.456,174.91
20260326-11:05,20260326,11:05,173.75,173.82,173.34,173.34,48999627401679,5,174.116,174.68
20260326-11:10,20260326,11:10,173.1,173.6,173.1,173.59,42725174129086,5,173.88400000000001,174.502
20260326-11:15,20260326,11:15,173.81,173.88,173.79,173.88,45199055904472,5,173.742,174.371
20260326-11:20,20260326,11:20,173.88,174.05,173.73,173.81,57753134681184,5,173.666,174.22
20260326-11:25,20260326,11:25,174.0,174.03,173.97,174.0,59557648240773,5,173.724,174.09
20260326-11:30,20260326,11:30,174.1,174.13,174.0,174.1,61459058133781,5,173.876,173.996
20260326-11:35,20260326,11:35,173.98,174.19,173.98,174.19,63290054817981,5,173.996,173.94
20260326-11:40,20260326,11:40,174.12,174.13,174.03,174.13,53129313900958,5,174.046,173.894
20260326-11:45,20260326,11:45,174.03,174.03,173.75,173.75,66260127459273,5,174.034,173.85
20260326-11:50,20260326,11:50,173.83,174.03,173.83,174.03,67829436352568,5,174.04,173.882
20260326-11:55,20260326,11:55,174.12,174.41,174.12,174.38,69617015428335,5,174.096,173.986
20260326-12:00,20260326,12:00,174.44,174.7,174.44,174.57,71711580350651,5,174.172,174.084
20260326-12:05,20260326,12:05,174.57,174.74,174.54,174.68,73394712366259,5,174.282,174.164
20260326-12:10,20260326,12:10,174.69,174.69,174.54,174.68,74611344413721,5,174.468,174.251
20260326-12:15,20260326,12:15,174.67,174.67,174.49,174.49,62528272759228,5,174.56,174.3
20260326-12:20,20260326,12:20,174.62,174.62,174.55,174.57,63282914803525,5,174.598,174.347
20260326-12:25,20260326,12:25,174.56,174.56,174.31,174.34,64382306728416,5,174.552,174.362
20260326-12:30,20260326,12:30,174.37,174.37,174.05,174.32,65959603730143,5,174.48,174.381
20260326-12:35,20260326,12:35,174.29,174.29,174.0,174.06,82135918097232,5,174.356,174.412
20260326-12:40,20260326,12:40,174.1,174.1,173.82,173.82,83256529416066,5,174.222,174.391
20260326-12:45,20260326,12:45,173.82,173.85,173.71,173.76,69147216951877,5,174.06,174.329
20260326-12:50,20260326,12:50,173.87,173.92,173.86,173.86,70411851038296,5,173.964,174.258
20260326-12:55,20260326,12:55,173.76,173.84,173.76,173.84,71146101196753,5,173.868,174.174
20260326-13:00,20260326,13:00,173.9,173.9,173.6,173.6,88132850749041,5,173.776,174.066
20260326-13:05,20260326,13:05,173.6,173.83,173.59,173.83,89702901253242,5,173.778,174.0
20260326-13:10,20260326,13:10,173.86,173.9,173.76,173.76,74394724826205,5,173.778,173.919
20260326-13:15,20260326,13:15,173.81,173.98,173.71,173.71,91922827714260,5,173.748,173.856
20260326-13:20,20260326,13:20,173.66,173.71,173.6,173.71,76210146737220,5,173.722,173.79500000000002
20260326-13:25,20260326,13:25,173.66,173.85,173.64,173.85,93657762693151,5,173.772,173.774
20260326-13:30,20260326,13:30,173.83,173.94,173.71,173.71,94584976472849,5,173.748,173.763
20260326-13:35,20260326,13:35,173.76,173.76,173.43,173.53,78365043257226,5,173.702,173.74
20260326-13:40,20260326,13:40,173.4,173.47,173.4,173.44,96681181464103,5,173.648,173.698
20260326-13:45,20260326,13:45,173.52,173.68,173.45,173.68,97583835276936,5,173.642,173.68200000000002
20260326-13:50,20260326,13:50,173.62,173.63,173.51,173.51,98484750800494,5,173.574,173.673
