timestamp,date,time,open,high,low,close,volume,count,ma5,ma10
20260112-09:30,20260112,09:30,183.1,183.13,183.0,183.08,2128280,5,184.984,185.43
20260112-09:35,20260112,09:35,183.1,183.1,183.04,183.04,2724240,5,184.464,185.135
20260112-09:40,20260112,09:40,182.99,183.25,182.99,183.16,2835360,5,183.978,184.864
20260112-09:45,20260112,09:45,183.21,184.66,183.21,184.66,6104040,5,183.852,184.748
20260112-09:50,20260112,09:50,184.91,185.7,184.91,185.7,9734080,5,183.928,184.727
20260112-09:55,20260112,09:55,186.03,186.03,184.91,184.91,13241040,5,184.29399999999998,184.639
20260112-10:00,20260112,10:00,185.1,185.1,184.51,184.75,15963360,5,184.636,184.55
20260112-10:05,20260112,10:05,184.65,185.29,184.65,185.29,18371340,5,185.06199999999998,184.51999999999998
20260112-10:10,20260112,10:10,185.05,185.26,184.82,184.82,20492820,5,185.094,184.47299999999998
20260112-10:15,20260112,10:15,184.92,184.99,184.8,184.87,22255680,5,184.928,184.428
20260112-10:20,20260112,10:20,184.6,184.82,184.6,184.82,23929300,5,184.91,184.602
20260112-10:25,20260112,10:25,184.94,185.18,184.94,184.99,25712860,5,184.958,184.797
20260112-10:30,20260112,10:30,185.06,185.06,184.84,185.02,27232920,5,184.904,184.983
20260112-10:35,20260112,10:35,184.95,184.95,184.73,184.73,28639280,5,184.886,184.99
20260112-10:40,20260112,10:40,184.69,184.79,184.54,184.68,30250160,5,184.848,184.888
20260112-10:45,20260112,10:45,184.62,184.62,183.98,183.98,32208340,5,184.68,184.795
20260112-10:50,20260112,10:50,184.04,184.15,183.81,183.81,34273360,5,184.444,184.701
20260112-10:55,20260112,10:55,183.93,184.04,183.81,184.04,35965480,5,184.248,184.576
20260112-11:00,20260112,11:00,184.12,184.12,183.93,183.98,37445880,5,184.09799999999998,184.492
20260112-11:05,20260112,11:05,184.19,184.24,184.03,184.24,38836860,5,184.01,184.429
20260112-11:10,20260112,11:10,184.24,184.52,184.24,184.52,40094820,5,184.118,184.399
20260112-11:15,20260112,11:15,184.5,184.51,184.37,184.37,41548620,5,184.23,184.337
20260112-11:20,20260112,11:20,184.4,184.5,184.36,184.36,42577180,5,184.294,184.27100000000002
20260112-11:25,20260112,11:25,184.44,184.59,184.44,184.52,43643740,5,184.40200000000002,184.25
20260112-11:30,20260112,11:30,184.77,185.12,184.77,185.12,45086900,5,184.578,184.294
20260112-11:35,20260112,11:35,185.15,185.15,184.91,184.93,46707720,5,184.66,184.389
20260112-11:40,20260112,11:40,185.05,185.21,184.93,185.21,47897720,5,184.828,184.529
20260112-11:45,20260112,11:45,185.24,185.24,185.06,185.09,49167860,5,184.97400000000002,184.63400000000001
