timestamp,date,time,open,high,low,close,volume,count,ma5,ma10
20260317-09:30,20260317,09:30,184.89,185.17,184.89,185.17,4108632,5,183.254,183.698
20260317-09:35,20260317,09:35,185.25,185.25,184.87,184.87,5413314,5,183.85399999999998,183.828
20260317-09:40,20260317,09:40,185.01,185.07,184.93,184.99,5662604,5,184.29,183.88
20260317-09:45,20260317,09:45,184.13,184.13,183.5,183.67,10599501,5,184.404,183.697
20260317-09:50,20260317,09:50,183.74,184.03,183.47,184.03,15988901,5,184.546,183.644
20260317-09:55,20260317,09:55,183.89,183.89,183.65,183.84,19649905,5,184.28,183.767
20260317-10:00,20260317,10:00,184.15,184.15,183.6,183.83,23194328,5,184.072,183.963
20260317-10:05,20260317,10:05,183.87,183.97,183.18,183.18,26330122,5,183.71,184.0
20260317-10:10,20260317,10:10,183.41,183.41,183.07,183.08,29381469,5,183.592,183.998
20260317-10:15,20260317,10:15,183.12,183.17,182.41,182.41,32401089,5,183.268,183.907
20260317-10:20,20260317,10:20,182.56,182.56,182.11,182.11,36003839,5,182.922,183.601
20260317-10:25,20260317,10:25,182.08,182.41,182.06,182.41,39821459,5,182.638,183.35500000000002
20260317-10:30,20260317,10:30,182.27,182.73,182.27,182.73,42918504,5,182.548,183.129
20260317-10:35,20260317,10:35,182.92,183.46,182.87,183.46,45816497,5,182.624,183.108
20260317-10:40,20260317,10:40,183.45,183.45,183.03,183.03,49365547,5,182.748,183.008
20260317-10:45,20260317,10:45,183.01,183.21,182.71,183.21,52180488,5,182.968,182.945
20260317-10:50,20260317,10:50,183.08,183.23,183.08,183.18,54222383,5,183.122,182.88
20260317-10:55,20260317,10:55,183.09,183.31,183.03,183.31,55811502,5,183.238,182.893
20260317-11:00,20260317,11:00,183.26,183.26,183.1,183.16,57644148,5,183.178,182.901
20260317-11:05,20260317,11:05,183.13,183.14,182.86,183.14,59030029,5,183.2,182.974
20260317-11:10,20260317,11:10,183.06,183.34,183.02,183.02,60915455,5,183.162,183.065
20260317-11:15,20260317,11:15,183.09,183.13,183.06,183.06,62621422,5,183.138,183.13
20260317-11:20,20260317,11:20,182.94,182.94,182.4,182.4,64328722,5,182.956,183.097
20260317-11:25,20260317,11:25,182.34,182.65,182.34,182.65,66394760,5,182.854,183.016
20260317-11:30,20260317,11:30,182.66,182.82,182.62,182.62,68100382,5,182.75,182.975
20260317-11:35,20260317,11:35,182.72,182.72,182.51,182.51,69821107,5,182.648,182.905
20260317-11:40,20260317,11:40,182.56,182.65,182.46,182.46,71907111,5,182.528,182.833
20260317-11:45,20260317,11:45,182.41,182.53,182.26,182.26,73494795,5,182.5,182.728
20260317-11:50,20260317,11:50,182.16,182.16,181.77,181.83,75684550,5,182.336,182.595
20260317-11:55,20260317,11:55,181.99,182.16,181.99,182.16,77915703,5,182.244,182.497
20260317-12:00,20260317,12:00,182.36,182.37,182.29,182.31,79452984,5,182.204,182.426
20260317-12:05,20260317,12:05,182.42,182.43,182.34,182.43,80899663,5,182.198,182.363
20260317-12:10,20260317,12:10,182.38,182.38,182.22,182.22,81951053,5,182.19,182.345
20260317-12:15,20260317,12:15,182.18,182.18,181.96,181.96,83115172,5,182.216,182.276
20260317-12:20,20260317,12:20,182.0,182.07,181.78,181.84,84475586,5,182.15200000000002,182.198
20260317-12:25,20260317,12:25,181.98,182.05,181.98,182.0,86222796,5,182.09,182.147
20260317-12:30,20260317,12:30,182.09,182.9,182.09,182.9,88162477,5,182.184,182.191
20260317-12:35,20260317,12:35,182.8,182.8,182.4,182.43,92138368,5,182.226,182.208
20260317-12:40,20260317,12:40,182.68,182.68,182.59,182.61,93967565,5,182.356,182.286
20260317-12:45,20260317,12:45,182.87,182.87,182.37,182.37,95553349,5,182.46200000000002,182.30700000000002
20260317-12:50,20260317,12:50,182.43,182.5,182.37,182.45,97229698,5,182.552,182.321
20260317-12:55,20260317,12:55,182.55,182.55,182.36,182.55,98434735,5,182.482,182.333
20260317-13:00,20260317,13:00,182.55,182.55,182.32,182.32,99684159,5,182.46,182.34300000000002
20260317-13:05,20260317,13:05,182.31,182.31,182.06,182.06,100836817,5,182.35,182.353
20260317-13:10,20260317,13:10,182.13,182.27,182.09,182.09,102480049,5,182.294,182.37800000000001
20260317-13:15,20260317,13:15,182.1,182.59,182.1,182.59,103804881,5,182.322,182.437
20260317-13:20,20260317,13:20,182.51,182.51,182.33,182.44,106047105,5,182.3,182.391
20260317-13:25,20260317,13:25,182.47,182.47,182.29,182.37,107353570,5,182.31,182.385
20260317-13:30,20260317,13:30,182.35,182.68,182.35,182.68,108381544,5,182.434,182.392
20260317-13:35,20260317,13:35,182.7,182.7,182.61,182.63,109514451,5,182.542,182.418
20260317-13:40,20260317,13:40,182.56,182.56,182.4,182.42,110286884,5,182.508,182.415
20260317-13:45,20260317,13:45,182.42,182.77,182.42,182.77,111129748,5,182.574,182.437
20260317-13:50,20260317,13:50,182.71,183.12,182.71,183.07,112688443,5,182.714,182.512
20260317-13:55,20260317,13:55,183.03,183.06,182.96,182.96,114126717,5,182.77,182.602
20260317-14:00,20260317,14:00,182.93,182.93,182.79,182.8,115085687,5,182.804,182.673
20260317-14:05,20260317,14:05,182.82,183.14,182.77,183.14,116084928,5,182.948,182.728
20260317-14:10,20260317,14:10,183.21,183.21,183.06,183.06,117346948,5,183.006,182.79
20260317-14:15,20260317,14:15,183.02,183.25,183.02,183.23,118496421,5,183.038,182.876
20260317-14:20,20260317,14:20,183.3,183.44,183.3,183.44,120345670,5,183.134,182.952
20260317-14:25,20260317,14:25,183.44,183.44,183.25,183.3,121791618,5,183.234,183.019
20260317-14:30,20260317,14:30,183.26,183.29,183.22,183.29,122871751,5,183.264,183.106
20260317-14:35,20260317,14:35,183.18,183.18,183.12,183.15,124088960,5,183.282,183.144
20260317-14:40,20260317,14:40,183.21,183.21,183.06,183.07,125565234,5,183.25,183.144
20260317-14:45,20260317,14:45,183.09,183.12,182.9,182.9,126824294,5,183.142,183.138
20260317-14:50,20260317,14:50,182.91,183.01,182.91,182.91,127893413,5,183.064,183.149
20260317-14:55,20260317,14:55,182.86,182.86,182.75,182.75,128813663,5,182.956,183.11
20260317-15:00,20260317,15:00,182.67,182.78,182.67,182.7,129764652,5,182.86599999999999,183.074
20260317-15:05,20260317,15:05,182.65,182.68,182.58,182.6,130810860,5,182.772,183.011
20260317-15:10,20260317,15:10,182.59,182.59,182.37,182.41,131960453,5,182.674,182.908
20260317-15:15,20260317,15:15,182.34,182.39,182.32,182.32,133253287,5,182.55599999999998,182.81
20260317-15:20,20260317,15:20,182.28,182.34,182.13,182.34,134643914,5,182.474,182.715
20260317-15:25,20260317,15:25,182.23,182.32,182.21,182.24,136152960,5,182.382,182.624
20260317-15:30,20260317,15:30,182.31,182.44,182.31,182.44,137248933,5,182.35,182.561
20260317-15:35,20260317,15:35,182.36,182.36,182.27,182.32,138329274,5,182.332,182.503
20260317-15:40,20260317,15:40,182.32,182.59,182.28,182.59,139600308,5,182.386,182.471
20260317-15:45,20260317,15:45,182.67,182.85,182.67,182.71,142154716,5,182.46,182.46699999999998
20260317-15:50,20260317,15:50,182.58,182.6,182.42,182.42,144243464,5,182.496,182.439
20260317-15:55,20260317,15:55,182.5,182.56,182.41,182.41,145869098,5,182.49,182.42
