timestamp,date,time,open,high,low,close,volume,count,ma5,ma10
20260211-09:30,20260211,09:30,191.67,191.7,191.39,191.4,3283820,5,189.52,189.234
20260211-09:35,20260211,09:35,191.37,191.46,191.32,191.46,4190680,5,189.982,189.50400000000002
20260211-09:40,20260211,09:40,191.36,192.78,191.36,192.78,4406680,5,190.74,189.92000000000002
20260211-09:45,20260211,09:45,192.44,192.66,192.01,192.04,8919020,5,191.356,190.251
20260211-09:50,20260211,09:50,191.84,192.28,191.31,191.31,14239840,5,191.798,190.446
20260211-09:55,20260211,09:55,191.23,192.5,191.12,192.5,17890060,5,192.018,190.769
20260211-10:00,20260211,10:00,192.87,193.23,192.43,192.71,23031580,5,192.268,191.125
20260211-10:05,20260211,10:05,192.65,192.65,191.85,191.93,26513060,5,192.098,191.419
20260211-10:10,20260211,10:10,191.89,191.89,191.3,191.3,29002220,5,191.95000000000002,191.653
20260211-10:15,20260211,10:15,191.22,191.56,190.96,190.96,31597700,5,191.88,191.839
20260211-10:20,20260211,10:20,190.84,190.94,190.75,190.79,34286180,5,191.538,191.778
20260211-10:25,20260211,10:25,190.54,190.56,189.74,189.74,36586700,5,190.94400000000002,191.606
20260211-10:30,20260211,10:30,190.23,190.43,190.18,190.18,39742540,5,190.594,191.346
20260211-10:35,20260211,10:35,189.66,189.94,189.66,189.93,42707180,5,190.32,191.135
20260211-10:40,20260211,10:40,189.76,189.76,188.82,189.19,45502260,5,189.966,190.923
20260211-10:45,20260211,10:45,188.92,189.57,188.92,189.57,48211720,5,189.722,190.63
20260211-10:50,20260211,10:50,189.67,190.19,189.67,190.19,50188860,5,189.812,190.37800000000001
20260211-10:55,20260211,10:55,190.36,190.81,190.36,190.56,52774760,5,189.888,190.241
20260211-11:00,20260211,11:00,190.71,190.84,190.71,190.83,54821460,5,190.068,190.19400000000002
20260211-11:05,20260211,11:05,190.24,191.6,190.24,191.6,57032580,5,190.55,190.258
20260211-11:10,20260211,11:10,191.84,191.89,191.71,191.71,59771700,5,190.978,190.35
20260211-11:15,20260211,11:15,191.59,191.83,191.36,191.36,61737520,5,191.21200000000002,190.512
20260211-11:20,20260211,11:20,191.3,191.3,190.96,191.11,63554940,5,191.322,190.60500000000002
