timestamp,date,time,open,high,low,close,volume,count,ma5,ma10
20260416-09:30,20260416,09:30,197.72,197.77,197.71,197.71,2322868462550,5,198.172,198.033
20260416-09:35,20260416,09:35,197.73,197.73,197.52,197.52,3839271338066,5,198.03,198.02100000000002
20260416-09:40,20260416,09:40,198.0,198.0,197.3,197.3,3335412211498,5,197.804,197.987
20260416-09:45,20260416,09:45,197.48,197.48,195.93,196.96,6501962862394,5,197.53400000000002,197.89600000000002
20260416-09:50,20260416,09:50,197.31,197.39,196.92,197.39,11795546721296,5,197.376,197.828
20260416-09:55,20260416,09:55,196.93,197.53,196.4,196.77,14678505457166,5,197.18800000000002,197.68
20260416-10:00,20260416,10:00,197.18,197.18,197.08,197.1,14274795862520,5,197.104,197.567
20260416-10:05,20260416,10:05,197.15,197.15,196.4,196.4,15960104890636,5,196.924,197.364
20260416-10:10,20260416,10:10,196.16,196.89,196.16,196.89,22651115809024,5,196.91,197.222
20260416-10:15,20260416,10:15,196.73,197.22,196.53,197.22,24910326457039,5,196.876,197.126
20260416-10:20,20260416,10:20,197.25,197.55,197.25,197.52,27370953338956,5,197.026,197.107
20260416-10:25,20260416,10:25,197.43,197.6,197.29,197.29,29256921290490,5,197.064,197.084
20260416-10:30,20260416,10:30,197.42,197.42,196.97,197.2,25455142089454,5,197.224,197.074
20260416-10:35,20260416,10:35,197.34,197.53,197.21,197.21,26778239826318,5,197.288,197.099
20260416-10:40,20260416,10:40,197.38,197.68,197.38,197.61,33986067854260,5,197.366,197.121
20260416-10:45,20260416,10:45,197.34,197.6,197.34,197.6,29021115242681,5,197.382,197.204
20260416-10:50,20260416,10:50,197.66,197.93,197.66,197.93,30055478661278,5,197.51,197.287
20260416-10:55,20260416,10:55,197.87,197.87,197.62,197.76,38340267222090,5,197.622,197.423
20260416-11:00,20260416,11:00,197.84,198.28,197.84,198.28,33010293028094,5,197.836,197.562
20260416-11:05,20260416,11:05,198.34,198.35,198.12,198.35,26468501712711,5,197.984,197.675
20260416-11:10,20260416,11:10,198.53,198.71,198.32,198.71,43069974371676,5,198.206,197.794
20260416-11:15,20260416,11:15,198.67,199.3,198.67,199.3,35936518150356,5,198.48,197.995
20260416-11:20,20260416,11:20,199.17,199.53,199.17,199.53,46955546301962,5,198.834,198.228
20260416-11:25,20260416,11:25,199.74,199.79,199.31,199.31,49159924508519,5,199.04,198.438
20260416-11:30,20260416,11:30,199.48,199.48,199.34,199.34,51118262255358,5,199.238,198.611
20260416-11:35,20260416,11:35,199.29,199.57,199.29,199.55,52459319912018,5,199.406,198.806
20260416-11:40,20260416,11:40,199.6,199.6,199.35,199.35,53569737670034,5,199.416,198.948
20260416-11:45,20260416,11:45,199.06,199.2,199.05,199.18,55142020841028,5,199.346,199.09
20260416-11:50,20260416,11:50,199.25,199.54,199.21,199.5,56515714362009,5,199.38400000000001,199.212
20260416-11:55,20260416,11:55,199.3,199.3,198.95,199.06,46464676677883,5,199.328,199.28300000000002
20260416-12:00,20260416,12:00,199.07,199.12,198.55,198.55,37965718938212,5,199.12800000000001,199.267
20260416-12:05,20260416,12:05,198.54,198.79,198.54,198.77,50014660644738,5,199.012,199.214
20260416-12:10,20260416,12:10,198.74,199.0,198.74,198.94,61935351026035,5,198.964,199.155
20260416-12:15,20260416,12:15,198.97,199.03,198.73,198.78,51711588624338,5,198.82,199.102
20260416-12:20,20260416,12:20,198.74,198.89,198.71,198.89,52482397353690,5,198.786,199.05700000000002
20260416-12:25,20260416,12:25,198.88,198.94,198.82,198.94,53585104475600,5,198.864,198.996
20260416-12:30,20260416,12:30,199.05,199.18,199.05,199.18,54541590663692,5,198.946,198.979
20260416-12:35,20260416,12:35,199.16,199.16,198.72,198.72,67385698741555,5,198.902,198.933
20260416-12:40,20260416,12:40,198.84,198.93,198.71,198.71,55881070442932,5,198.888,198.854
20260416-12:45,20260416,12:45,198.62,198.62,197.98,197.98,69214836462931,5,198.706,198.746
20260416-12:50,20260416,12:50,198.13,198.55,198.13,198.55,58032206505359,5,198.62800000000001,198.746
