timestamp,date,time,open,high,low,close,volume,count,ma5,ma10
20260217-09:30,20260217,09:30,181.33,181.4,181.33,181.34,2299600,5,181.82,182.285
20260217-09:35,20260217,09:35,181.32,181.5,181.32,181.33,2911360,5,181.67600000000002,182.114
20260217-09:40,20260217,09:40,181.35,181.91,181.1,181.64,3017160,5,181.594,181.982
20260217-09:45,20260217,09:45,181.72,181.76,181.37,181.76,6876060,5,181.588,181.882
20260217-09:50,20260217,09:50,182.38,182.72,182.3,182.3,10424060,5,181.674,181.875
20260217-09:55,20260217,09:55,183.32,183.32,182.4,182.4,13559600,5,181.886,181.853
20260217-10:00,20260217,10:00,181.91,181.91,180.53,180.77,17318640,5,181.774,181.725
20260217-10:05,20260217,10:05,180.7,180.7,179.85,179.85,21114020,5,181.416,181.505
20260217-10:10,20260217,10:10,179.86,179.87,179.54,179.75,24308580,5,181.014,181.301
20260217-10:15,20260217,10:15,179.29,180.35,179.29,180.35,27273660,5,180.624,181.149
20260217-10:20,20260217,10:20,180.28,180.28,179.65,179.9,29725700,5,180.124,181.005
20260217-10:25,20260217,10:25,179.75,180.05,179.54,179.72,31841980,5,179.914,180.844
20260217-10:30,20260217,10:30,179.8,180.77,179.72,180.77,33977140,5,180.098,180.757
20260217-10:35,20260217,10:35,180.85,180.85,180.35,180.35,36433240,5,180.218,180.616
20260217-10:40,20260217,10:40,180.47,180.52,180.22,180.5,38327080,5,180.248,180.436
20260217-10:45,20260217,10:45,180.41,180.41,179.89,179.89,40068500,5,180.246,180.185
20260217-10:50,20260217,10:50,179.82,180.06,179.82,179.97,41869380,5,180.296,180.105
20260217-10:55,20260217,10:55,179.88,179.88,179.36,179.76,43844980,5,180.094,180.096
20260217-11:00,20260217,11:00,180.28,180.87,180.28,180.85,45875940,5,180.194,180.206
20260217-11:05,20260217,11:05,180.81,181.45,180.68,181.45,48169460,5,180.384,180.316
20260217-11:10,20260217,11:10,181.46,181.92,181.29,181.92,50108060,5,180.79,180.518
20260217-11:15,20260217,11:15,181.8,182.63,181.8,182.63,52053760,5,181.322,180.809
20260217-11:20,20260217,11:20,182.86,183.69,182.86,183.69,54404320,5,182.108,181.101
20260217-11:25,20260217,11:25,183.74,184.35,183.74,184.35,57176640,5,182.808,181.501
20260217-11:30,20260217,11:30,184.24,184.24,183.89,184.0,59906900,5,183.31799999999998,181.851
20260217-11:35,20260217,11:35,184.12,184.15,183.93,184.15,62069000,5,183.764,182.277
20260217-11:40,20260217,11:40,184.12,184.12,183.78,183.92,64224640,5,184.022,182.672
20260217-11:45,20260217,11:45,183.58,183.65,183.29,183.62,66676380,5,184.008,183.058
20260217-11:50,20260217,11:50,183.89,184.52,183.89,184.3,69091160,5,183.998,183.403
20260217-11:55,20260217,11:55,184.1,184.12,183.95,183.97,70912780,5,183.992,183.655
20260217-12:00,20260217,12:00,183.85,184.07,183.85,184.07,72176320,5,183.976,183.87
20260217-12:05,20260217,12:05,183.9,184.2,183.9,183.99,73333860,5,183.99,184.006
20260217-12:10,20260217,12:10,184.3,184.41,184.21,184.26,74639980,5,184.118,184.063
20260217-12:15,20260217,12:15,184.05,184.05,183.83,183.86,75943180,5,184.03,184.014
20260217-12:20,20260217,12:20,184.01,184.24,184.0,184.24,77051600,5,184.084,184.038
20260217-12:25,20260217,12:25,184.07,184.07,183.75,183.75,78272840,5,184.02,183.998
20260217-12:30,20260217,12:30,183.68,184.38,183.66,184.38,79569160,5,184.098,184.044
20260217-12:35,20260217,12:35,184.18,184.18,183.82,183.97,80992860,5,184.04,184.079
20260217-12:40,20260217,12:40,184.12,184.37,184.12,184.33,82141900,5,184.13400000000001,184.082
20260217-12:45,20260217,12:45,184.74,184.74,184.15,184.34,83693680,5,184.154,184.119
20260217-12:50,20260217,12:50,184.35,184.61,184.35,184.59,84933500,5,184.322,184.171
20260217-12:55,20260217,12:55,184.59,184.59,184.08,184.08,86225300,5,184.262,184.18
20260217-13:00,20260217,13:00,183.93,184.17,183.75,184.17,87902260,5,184.302,184.171
20260217-13:05,20260217,13:05,184.13,184.16,183.68,183.71,89302820,5,184.178,184.156
20260217-13:10,20260217,13:10,183.83,184.48,183.83,184.48,90629080,5,184.206,184.18
20260217-13:15,20260217,13:15,184.88,184.88,184.42,184.62,92236560,5,184.212,184.267
20260217-13:20,20260217,13:20,184.43,184.43,184.25,184.29,93522440,5,184.254,184.258
20260217-13:25,20260217,13:25,184.46,184.71,184.37,184.71,94377300,5,184.362,184.332
20260217-13:30,20260217,13:30,184.64,184.64,184.4,184.59,95482780,5,184.538,184.358
20260217-13:35,20260217,13:35,184.58,185.33,184.58,185.29,96757960,5,184.7,184.453
20260217-13:40,20260217,13:40,185.36,185.44,185.21,185.33,98512280,5,184.842,184.527
20260217-13:45,20260217,13:45,185.35,185.36,185.22,185.29,99761740,5,185.042,184.648
20260217-13:50,20260217,13:50,185.21,185.37,185.03,185.37,101030040,5,185.174,184.768
20260217-13:55,20260217,13:55,185.51,185.91,185.51,185.68,102570040,5,185.392,184.965
20260217-14:00,20260217,14:00,185.53,185.54,185.3,185.3,103786300,5,185.394,185.047
20260217-14:05,20260217,14:05,185.37,185.51,185.36,185.39,104655700,5,185.406,185.124
20260217-14:10,20260217,14:10,185.63,185.81,185.5,185.5,105627560,5,185.448,185.245
20260217-14:15,20260217,14:15,185.49,185.71,185.47,185.71,106479060,5,185.516,185.345
20260217-14:20,20260217,14:20,185.72,185.92,185.72,185.92,107523960,5,185.564,185.478
20260217-14:25,20260217,14:25,185.82,185.82,185.7,185.71,108583780,5,185.646,185.52
20260217-14:30,20260217,14:30,186.02,186.05,185.96,186.05,109911920,5,185.778,185.592
20260217-14:35,20260217,14:35,186.06,186.22,186.02,186.22,110948020,5,185.922,185.685
20260217-14:40,20260217,14:40,186.29,186.4,186.29,186.31,112138600,5,186.042,185.779
20260217-14:45,20260217,14:45,186.42,186.77,186.27,186.64,113654160,5,186.186,185.875
20260217-14:50,20260217,14:50,186.8,187.09,186.72,186.72,115438680,5,186.388,186.017
20260217-14:55,20260217,14:55,186.71,186.92,186.7,186.7,117111540,5,186.518,186.148
20260217-15:00,20260217,15:00,186.72,186.72,186.34,186.34,118345020,5,186.542,186.232
20260217-15:05,20260217,15:05,186.35,186.35,185.84,185.93,119627180,5,186.466,186.254
20260217-15:10,20260217,15:10,185.99,186.0,185.82,185.82,121025180,5,186.302,186.244
20260217-15:15,20260217,15:15,185.97,186.17,185.82,185.82,122407760,5,186.12199999999999,186.255
20260217-15:20,20260217,15:20,185.91,185.92,185.77,185.77,123593380,5,185.936,186.227
20260217-15:25,20260217,15:25,185.74,185.8,185.7,185.77,124464380,5,185.822,186.182
20260217-15:30,20260217,15:30,185.85,185.88,185.72,185.84,125465900,5,185.804,186.135
20260217-15:35,20260217,15:35,185.76,185.97,185.63,185.63,126546680,5,185.766,186.034
20260217-15:40,20260217,15:40,185.56,185.65,185.39,185.48,127917720,5,185.698,185.91
20260217-15:45,20260217,15:45,185.42,185.44,185.05,185.05,129300300,5,185.554,185.745
20260217-15:50,20260217,15:50,185.16,185.16,184.82,184.82,130978720,5,185.364,185.593
20260217-15:55,20260217,15:55,184.81,185.24,184.81,185.24,132546840,5,185.244,185.524
