timestamp,date,time,open,high,low,close,volume,count,ma5,ma10
20260130-09:30,20260130,09:30,190.88,191.04,190.81,190.9,2483220,5,191.134,191.113
20260130-09:35,20260130,09:35,190.9,191.5,190.9,191.43,3253240,5,191.174,191.184
20260130-09:40,20260130,09:40,191.43,191.43,191.09,191.22,3442720,5,191.116,191.202
20260130-09:45,20260130,09:45,191.22,192.23,191.22,191.97,6502240,5,191.302,191.26
20260130-09:50,20260130,09:50,192.38,192.44,191.78,191.78,9692260,5,191.46,191.315
20260130-09:55,20260130,09:55,192.46,192.8,192.18,192.18,12836920,5,191.716,191.425
20260130-10:00,20260130,10:00,192.36,192.36,191.98,192.01,15445640,5,191.832,191.503
20260130-10:05,20260130,10:05,192.23,192.64,192.23,192.43,17742900,5,192.074,191.595
20260130-10:10,20260130,10:10,192.14,192.42,191.78,191.78,19866980,5,192.036,191.669
20260130-10:15,20260130,10:15,191.62,192.02,191.59,192.02,22404900,5,192.084,191.772
20260130-10:20,20260130,10:20,191.92,192.29,191.9,191.9,24711740,5,192.028,191.872
20260130-10:25,20260130,10:25,192.15,192.52,192.15,192.46,26645080,5,192.118,191.975
20260130-10:30,20260130,10:30,192.23,193.13,192.23,193.13,28834920,5,192.258,192.166
20260130-10:35,20260130,10:35,192.97,193.37,192.66,192.66,32365680,5,192.434,192.235
20260130-10:40,20260130,10:40,192.68,192.68,191.9,191.9,34621000,5,192.41,192.247
20260130-10:45,20260130,10:45,191.65,192.02,191.33,192.02,37185340,5,192.434,192.231
20260130-10:50,20260130,10:50,192.29,193.09,192.29,192.91,40170400,5,192.524,192.321
20260130-10:55,20260130,10:55,192.97,193.19,192.89,193.13,42304640,5,192.524,192.391
20260130-11:00,20260130,11:00,193.22,194.4,193.15,194.4,45091640,5,192.872,192.653
20260130-11:05,20260130,11:05,194.37,194.37,193.55,193.55,49024200,5,193.202,192.806
20260130-11:10,20260130,11:10,193.72,193.72,193.53,193.62,51493340,5,193.522,192.978
20260130-11:15,20260130,11:15,193.69,193.76,193.31,193.31,53749040,5,193.602,193.063
20260130-11:20,20260130,11:20,193.1,193.35,192.97,193.17,55563900,5,193.61,193.067
20260130-11:25,20260130,11:25,193.04,193.13,192.91,193.08,57118340,5,193.346,193.109
20260130-11:30,20260130,11:30,193.04,193.04,192.52,192.52,58854720,5,193.14000000000001,193.171
20260130-11:35,20260130,11:35,192.35,192.35,192.06,192.07,60625980,5,192.83,193.176
20260130-11:40,20260130,11:40,191.99,192.32,191.99,192.21,62592440,5,192.61,193.106
20260130-11:45,20260130,11:45,192.23,192.68,192.23,192.55,64403880,5,192.48600000000002,193.048
20260130-11:50,20260130,11:50,192.38,192.69,192.27,192.69,65892660,5,192.40800000000002,192.877
20260130-11:55,20260130,11:55,192.58,192.88,192.58,192.88,67193720,5,192.48,192.81
20260130-12:00,20260130,12:00,192.97,192.97,192.52,192.52,68616080,5,192.57,192.7
20260130-12:05,20260130,12:05,192.37,192.49,192.21,192.49,69885720,5,192.626,192.618
20260130-12:10,20260130,12:10,192.68,192.68,192.41,192.41,71199280,5,192.598,192.542
20260130-12:15,20260130,12:15,192.34,192.34,191.71,191.71,72552860,5,192.40200000000002,192.405
20260130-12:20,20260130,12:20,191.68,191.82,191.67,191.67,74202720,5,192.16,192.32
20260130-12:25,20260130,12:25,191.87,192.03,191.87,191.99,75536680,5,192.054,192.312
20260130-12:30,20260130,12:30,192.0,192.0,191.82,191.96,76662900,5,191.948,192.287
20260130-12:35,20260130,12:35,191.94,192.35,191.94,192.35,77908040,5,191.936,192.267
20260130-12:40,20260130,12:40,192.23,192.69,192.23,192.69,79242020,5,192.132,192.267
20260130-12:45,20260130,12:45,192.84,193.03,192.55,192.55,80768420,5,192.308,192.234
20260130-12:50,20260130,12:50,192.38,192.48,192.11,192.48,82044940,5,192.406,192.23
20260130-12:55,20260130,12:55,192.26,192.49,192.21,192.49,83033320,5,192.512,192.23
20260130-13:00,20260130,13:00,192.62,192.83,192.46,192.46,84172640,5,192.534,192.235
20260130-13:05,20260130,13:05,192.47,192.66,192.27,192.27,85470120,5,192.45000000000002,192.291
20260130-13:10,20260130,13:10,192.33,192.33,191.99,191.99,86829660,5,192.338,192.323
20260130-13:15,20260130,13:15,191.83,191.83,191.67,191.67,88031100,5,192.17600000000002,192.291
20260130-13:20,20260130,13:20,191.74,191.74,191.46,191.61,89268980,5,192.0,192.256
20260130-13:25,20260130,13:25,191.44,191.73,191.4,191.62,90701580,5,191.832,192.183
20260130-13:30,20260130,13:30,191.65,191.65,191.07,191.07,91831680,5,191.592,192.02100000000002
20260130-13:35,20260130,13:35,190.99,190.99,190.55,190.81,93577560,5,191.356,191.847
20260130-13:40,20260130,13:40,190.93,191.31,190.93,191.05,95330080,5,191.232,191.704
20260130-13:45,20260130,13:45,191.27,191.27,190.71,190.71,96804160,5,191.052,191.526
20260130-13:50,20260130,13:50,190.57,190.9,190.53,190.78,98363240,5,190.88400000000001,191.358
20260130-13:55,20260130,13:55,190.9,191.08,190.9,190.98,99438660,5,190.866,191.229
20260130-14:00,20260130,14:00,190.86,191.23,190.86,191.23,100477780,5,190.95,191.153
20260130-14:05,20260130,14:05,191.25,191.53,191.25,191.41,101663140,5,191.022,191.127
20260130-14:10,20260130,14:10,191.46,191.65,191.46,191.65,102752760,5,191.21,191.131
20260130-14:15,20260130,14:15,191.52,191.6,191.35,191.41,104071100,5,191.33599999999998,191.11
