timestamp,date,time,open,high,low,close,volume,count,ma5,ma10
20260123-09:30,20260123,09:30,187.16,187.26,187.12,187.18,5123680,5,184.766,184.595
20260123-09:35,20260123,09:35,187.16,187.16,186.9,186.9,6509580,5,185.3,184.826
20260123-09:40,20260123,09:40,186.98,187.53,186.96,187.53,6661680,5,185.996,185.154
20260123-09:45,20260123,09:45,187.57,189.33,187.57,188.1,13808440,5,186.786,185.535
20260123-09:50,20260123,09:50,187.42,187.68,187.11,187.11,20819540,5,187.364,185.8
20260123-09:55,20260123,09:55,187.02,188.04,187.02,187.71,24810200,5,187.47,186.118
20260123-10:00,20260123,10:00,187.56,187.9,187.32,187.38,29224440,5,187.566,186.433
20260123-10:05,20260123,10:05,187.48,187.92,187.38,187.76,31979000,5,187.612,186.804
20260123-10:10,20260123,10:10,187.43,187.98,187.43,187.98,34232120,5,187.588,187.187
20260123-10:15,20260123,10:15,187.79,188.15,187.79,188.11,36668480,5,187.788,187.576
20260123-10:20,20260123,10:20,188.29,188.29,187.85,187.87,39348360,5,187.82,187.645
20260123-10:25,20260123,10:25,187.89,187.89,187.57,187.57,41397040,5,187.858,187.712
20260123-10:30,20260123,10:30,187.67,187.76,187.37,187.37,43757660,5,187.78,187.696
20260123-10:35,20260123,10:35,187.32,187.65,187.32,187.57,46236460,5,187.698,187.643
20260123-10:40,20260123,10:40,187.54,187.71,187.54,187.71,47664420,5,187.618,187.703
20260123-10:45,20260123,10:45,187.65,187.65,187.55,187.55,48834600,5,187.554,187.687
20260123-10:50,20260123,10:50,187.61,187.88,187.61,187.75,50037940,5,187.59,187.724
20260123-10:55,20260123,10:55,187.71,187.82,187.56,187.82,51418220,5,187.68,187.73
20260123-11:00,20260123,11:00,187.81,187.96,187.7,187.96,52587240,5,187.758,187.728
20260123-11:05,20260123,11:05,187.99,188.05,187.95,187.95,53989200,5,187.806,187.712
20260123-11:10,20260123,11:10,187.83,187.83,187.77,187.77,55110260,5,187.85,187.702
20260123-11:15,20260123,11:15,187.77,187.79,187.62,187.71,56243960,5,187.842,187.716
20260123-11:20,20260123,11:20,187.56,187.56,187.26,187.31,57677600,5,187.74,187.71
20260123-11:25,20260123,11:25,187.37,187.42,187.29,187.42,58937280,5,187.632,187.695
20260123-11:30,20260123,11:30,187.46,187.46,187.18,187.33,60084740,5,187.508,187.657
