timestamp,date,time,open,high,low,close,volume,count,ma5,ma10
20260205-09:30,20260205,09:30,174.1,174.1,173.78,173.78,4759820,5,175.154,175.074
20260205-09:35,20260205,09:35,174.14,174.14,173.37,173.6,6205060,5,174.78199999999998,174.913
20260205-09:40,20260205,09:40,173.5,174.71,173.5,174.71,6492640,5,174.634,174.86599999999999
20260205-09:45,20260205,09:45,175.0,175.0,174.1,174.1,10574880,5,174.364,174.838
20260205-09:50,20260205,09:50,175.26,175.43,175.1,175.1,14828260,5,174.258,174.87199999999999
20260205-09:55,20260205,09:55,175.13,175.32,174.7,175.32,19002260,5,174.566,174.85999999999999
20260205-10:00,20260205,10:00,175.25,176.41,175.25,175.93,23573840,5,175.032,174.90699999999998
20260205-10:05,20260205,10:05,176.78,176.78,175.43,175.51,28125340,5,175.192,174.913
20260205-10:10,20260205,10:10,175.18,175.29,174.41,174.41,31307720,5,175.254,174.809
20260205-10:15,20260205,10:15,173.89,173.89,173.51,173.51,35401920,5,174.936,174.597
20260205-10:20,20260205,10:20,173.15,173.33,172.87,172.94,38722360,5,174.46,174.513
20260205-10:25,20260205,10:25,173.22,173.22,171.79,171.79,41785160,5,173.632,174.332
20260205-10:30,20260205,10:30,171.46,172.6,171.46,172.05,45655740,5,172.94,174.066
20260205-10:35,20260205,10:35,172.4,172.43,172.02,172.02,48829960,5,172.462,173.858
20260205-10:40,20260205,10:40,172.18,172.18,171.63,171.63,51636880,5,172.086,173.511
20260205-10:45,20260205,10:45,171.59,172.01,171.59,171.73,54615680,5,171.844,173.152
20260205-10:50,20260205,10:50,171.82,172.83,171.82,172.83,57156040,5,172.052,172.84199999999998
20260205-10:55,20260205,10:55,173.09,173.09,172.68,173.02,59935200,5,172.246,172.593
20260205-11:00,20260205,11:00,172.96,172.96,172.11,172.11,62550680,5,172.264,172.363
20260205-11:05,20260205,11:05,172.21,173.07,172.21,173.07,64802800,5,172.552,172.31900000000002
20260205-11:10,20260205,11:10,173.08,173.18,172.79,173.0,67659520,5,172.806,172.325
20260205-11:15,20260205,11:15,173.18,173.18,172.8,172.8,70476560,5,172.8,172.42600000000002
20260205-11:20,20260205,11:20,172.51,172.51,172.07,172.07,72600080,5,172.61,172.428
20260205-11:25,20260205,11:25,172.16,172.18,171.99,172.18,74591420,5,172.624,172.44400000000002
20260205-11:30,20260205,11:30,172.14,172.97,172.14,172.97,76687640,5,172.604,172.578
20260205-11:35,20260205,11:35,173.07,173.37,172.8,172.8,78510940,5,172.564,172.685
20260205-11:40,20260205,11:40,173.24,174.07,173.24,174.07,80868960,5,172.818,172.809
20260205-11:45,20260205,11:45,174.26,174.92,174.26,174.92,83887000,5,173.388,172.999
20260205-11:50,20260205,11:50,175.22,175.22,174.79,174.88,87141840,5,173.928,173.276
20260205-11:55,20260205,11:55,174.87,174.87,174.61,174.79,88967820,5,174.292,173.448
20260205-12:00,20260205,12:00,174.81,174.81,174.45,174.65,90604140,5,174.662,173.613
20260205-12:05,20260205,12:05,175.17,175.51,175.17,175.26,92731000,5,174.9,173.859
20260205-12:10,20260205,12:10,175.23,175.45,174.95,175.02,94661080,5,174.92,174.154
20260205-12:15,20260205,12:15,175.21,175.21,174.69,174.69,96169960,5,174.882,174.405
20260205-12:20,20260205,12:20,174.68,174.87,174.62,174.86,97677760,5,174.89600000000002,174.594
20260205-12:25,20260205,12:25,174.79,174.79,174.51,174.64,98895800,5,174.894,174.778
20260205-12:30,20260205,12:30,174.85,175.01,174.8,175.01,100006140,5,174.844,174.87199999999999
20260205-12:35,20260205,12:35,174.63,175.12,174.54,175.12,101270780,5,174.864,174.892
20260205-12:40,20260205,12:40,175.44,175.73,175.44,175.47,102916380,5,175.02,174.951
20260205-12:45,20260205,12:45,175.29,175.46,175.05,175.19,104290280,5,175.08599999999998,174.99099999999999
20260205-12:50,20260205,12:50,175.05,175.27,175.05,175.27,105387980,5,175.212,175.053
20260205-12:55,20260205,12:55,175.3,175.62,175.3,175.48,106463940,5,175.306,175.075
20260205-13:00,20260205,13:00,175.35,175.64,175.01,175.01,108367380,5,175.284,175.074
20260205-13:05,20260205,13:05,174.95,175.24,174.87,175.24,110351420,5,175.238,175.129
20260205-13:10,20260205,13:10,175.12,175.17,174.91,174.91,111472700,5,175.182,175.134
20260205-13:15,20260205,13:15,174.96,175.34,174.96,175.23,114265160,5,175.174,175.19299999999998
20260205-13:20,20260205,13:20,175.08,175.08,174.87,174.87,122299620,5,175.052,175.179
20260205-13:25,20260205,13:25,174.8,174.93,174.62,174.74,123415040,5,174.998,175.141
20260205-13:30,20260205,13:30,174.78,174.82,174.6,174.6,124447800,5,174.87,175.054
20260205-13:35,20260205,13:35,174.58,174.58,174.12,174.12,125503980,5,174.712,174.947
20260205-13:40,20260205,13:40,174.19,174.38,174.09,174.35,127969300,5,174.536,174.855
20260205-13:45,20260205,13:45,174.32,174.64,174.17,174.17,129079200,5,174.396,174.724
20260205-13:50,20260205,13:50,174.3,174.3,173.81,173.81,130225940,5,174.21,174.60399999999998
20260205-13:55,20260205,13:55,173.79,173.79,173.68,173.68,131607760,5,174.026,174.448
20260205-14:00,20260205,14:00,173.74,173.74,173.37,173.43,132722740,5,173.888,174.3
