date,time,_updated,last,bid,ask,bid_sz,ask_sz,volume,symbol,conid
20260210,09:30:15,20260210-09:30:08,191.65,,,,,,NVDA,4815747
20260210,09:31:07,20260210-09:31:01,191.51,191.51,191.55,30000.0,30000.0,2886700.0,NVDA,4815747
20260210,09:32:06,20260210-09:31:58,191.65,191.61,191.65,10000.0,30000.0,2898400.0,NVDA,4815747
20260210,09:33:08,20260210-09:33:00,191.75,191.76,191.77,40000.0,10000.0,2925300.0,NVDA,4815747
20260210,09:34:09,20260210-09:34:08,191.89,191.83,191.86,10000.0,10000.0,2954400.0,NVDA,4815747
20260210,09:35:06,20260210-09:35:00,191.8,191.77,191.81,10000.0,160000.0,2977800.0,NVDA,4815747
20260210,09:36:03,20260210-09:36:00,191.76,191.72,191.78,20000.0,20000.0,3012900.0,NVDA,4815747
20260210,09:37:05,20260210-09:36:59,191.76,191.76,191.8,10000.0,10000.0,3058900.0,NVDA,4815747
20260210,09:38:01,20260210-09:38:01,191.73,191.72,191.76,10000.0,20000.0,3070800.0,NVDA,4815747
20260210,09:39:04,20260210-09:38:59,191.71,191.69,191.71,10000.0,10000.0,3080500.0,NVDA,4815747
20260210,09:40:06,20260210-09:40:04,191.65,191.56,191.58,30000.0,200000.0,3098700.0,NVDA,4815747
20260210,09:41:03,20260210-09:41:00,191.51,191.5,191.51,30000.0,10000.0,3111100.0,NVDA,4815747
20260210,09:42:05,20260210-09:42:02,191.66,191.65,191.71,30000.0,10000.0,3122300.0,NVDA,4815747
20260210,09:43:02,20260210-09:43:01,191.75,191.75,191.8,20000.0,380000.0,3152800.0,NVDA,4815747
20260210,09:44:06,20260210-09:44:00,191.53,191.46,191.54,20000.0,10000.0,3170300.0,NVDA,4815747
20260210,09:45:04,20260210-09:45:00,191.44,191.4,191.47,10000.0,20000.0,4514100.0,NVDA,4815747
20260210,09:46:10,20260210-09:46:09,191.7,191.7,191.73,10000.0,10000.0,6780000.0,NVDA,4815747
20260210,09:47:06,20260210-09:47:06,192.12,192.1,192.14,80000.0,50000.0,8066900.0,NVDA,4815747
20260210,09:48:05,20260210-09:47:59,191.46,191.46,191.48,10000.0,40000.0,8681900.0,NVDA,4815747
20260210,09:49:02,20260210-09:48:59,190.92,190.9,190.93,40000.0,120000.0,9534200.0,NVDA,4815747
20260210,09:50:05,20260210-09:50:05,190.82,190.81,190.83,10000.0,10000.0,10715200.0,NVDA,4815747
20260210,09:51:02,20260210-09:50:59,191.19,191.18,191.2,10000.0,20000.0,11115500.0,NVDA,4815747
20260210,09:52:05,20260210-09:51:59,190.36,190.37,190.39,10000.0,30000.0,12128100.0,NVDA,4815747
20260210,09:53:07,20260210-09:52:59,189.98,189.96,189.99,60000.0,100000.0,13123100.0,NVDA,4815747
20260210,09:54:03,20260210-09:54:00,190.27,190.26,190.28,10000.0,20000.0,13893000.0,NVDA,4815747
20260210,09:55:06,20260210-09:54:59,190.13,190.13,190.14,70000.0,30000.0,14515500.0,NVDA,4815747
20260210,09:56:04,20260210-09:56:03,189.88,189.86,189.88,10000.0,10000.0,15383600.0,NVDA,4815747
20260210,09:57:08,20260210-09:57:04,189.46,189.45,189.47,20000.0,80000.0,16223400.0,NVDA,4815747
20260210,09:58:05,20260210-09:57:59,189.32,189.31,189.33,70000.0,70000.0,16797800.0,NVDA,4815747
20260210,09:59:02,20260210-09:58:59,189.6,189.6,189.62,90000.0,50000.0,17407100.0,NVDA,4815747
20260210,10:00:11,20260210-10:00:09,189.34,189.32,189.33,100000.0,10000.0,17913100.0,NVDA,4815747
20260210,10:01:02,20260210-10:01:02,189.1,189.1,189.11,50000.0,40000.0,18650700.0,NVDA,4815747
20260210,10:02:05,20260210-10:01:59,189.1,189.09,189.11,40000.0,120000.0,19234400.0,NVDA,4815747
20260210,10:03:02,20260210-10:02:59,188.82,188.82,188.83,30000.0,40000.0,19820500.0,NVDA,4815747
20260210,10:04:06,20260210-10:04:02,188.65,188.65,188.66,50000.0,40000.0,20623300.0,NVDA,4815747
20260210,10:05:03,20260210-10:04:59,188.64,188.62,188.64,10000.0,50000.0,21199300.0,NVDA,4815747
20260210,10:06:13,20260210-10:06:09,188.88,188.86,188.87,20000.0,20000.0,22096100.0,NVDA,4815747
20260210,10:07:05,20260210-10:06:59,189.13,189.12,189.14,20000.0,10000.0,22732600.0,NVDA,4815747
