date,time,_updated,last,bid,ask,bid_sz,ask_sz,volume,symbol,conid
20260220,09:30:04,20260220-09:29:58,186.66,,,,,,NVDA,4815747
20260220,09:31:05,20260220-09:30:57,186.38,186.35,186.38,70000.0,10000.0,2006800.0,NVDA,4815747
20260220,09:32:01,20260220-09:31:59,186.43,186.43,186.48,10000.0,20000.0,2025900.0,NVDA,4815747
20260220,09:33:03,20260220-09:32:55,186.53,186.5,186.59,40000.0,20000.0,2033100.0,NVDA,4815747
20260220,09:34:05,20260220-09:33:54,186.58,186.55,186.62,10000.0,20000.0,2038900.0,NVDA,4815747
20260220,09:35:06,20260220-09:34:59,186.43,186.42,186.49,10000.0,10000.0,2046500.0,NVDA,4815747
20260220,09:36:03,20260220-09:36:00,186.37,186.35,186.4,20000.0,10000.0,2067600.0,NVDA,4815747
20260220,09:37:05,20260220-09:37:03,186.43,186.4,186.48,10000.0,10000.0,2079400.0,NVDA,4815747
20260220,09:38:06,20260220-09:37:59,186.41,186.4,186.45,70000.0,110000.0,2086600.0,NVDA,4815747
20260220,09:39:01,20260220-09:38:59,186.31,186.3,186.31,210000.0,10000.0,2100500.0,NVDA,4815747
20260220,09:40:03,20260220-09:39:59,186.23,186.23,186.3,70000.0,40000.0,2127100.0,NVDA,4815747
20260220,09:41:04,20260220-09:40:59,186.69,186.67,186.7,80000.0,50000.0,2181100.0,NVDA,4815747
20260220,09:42:05,20260220-09:42:03,186.52,186.4,186.42,10000.0,80000.0,2216000.0,NVDA,4815747
20260220,09:43:00,20260220-09:42:59,186.71,186.52,186.8,70000.0,10000.0,2267400.0,NVDA,4815747
20260220,09:44:02,20260220-09:43:58,186.48,186.44,186.55,10000.0,20000.0,2288100.0,NVDA,4815747
20260220,09:45:03,20260220-09:45:01,186.52,186.49,186.7,20000.0,210000.0,5935800.0,NVDA,4815747
20260220,09:46:04,20260220-09:45:59,186.17,186.15,186.19,10000.0,10000.0,6702300.0,NVDA,4815747
20260220,09:47:05,20260220-09:46:59,186.82,186.8,186.82,30000.0,20000.0,7184600.0,NVDA,4815747
20260220,09:48:01,20260220-09:47:59,187.51,187.49,187.52,120000.0,90000.0,7978800.0,NVDA,4815747
20260220,09:49:02,20260220-09:48:59,187.85,187.85,187.87,60000.0,90000.0,8741000.0,NVDA,4815747
20260220,09:50:03,20260220-09:49:59,187.65,187.63,187.65,50000.0,80000.0,9391700.0,NVDA,4815747
20260220,09:51:04,20260220-09:51:01,188.16,188.15,188.16,30000.0,30000.0,10256800.0,NVDA,4815747
20260220,09:52:06,20260220-09:52:01,188.28,188.27,188.29,40000.0,90000.0,11014800.0,NVDA,4815747
20260220,09:53:01,20260220-09:52:59,188.14,188.13,188.15,70000.0,60000.0,11611300.0,NVDA,4815747
20260220,09:54:02,20260220-09:53:59,188.07,188.06,188.07,50000.0,20000.0,12304000.0,NVDA,4815747
20260220,09:55:03,20260220-09:54:59,188.06,188.05,188.07,30000.0,100000.0,12976800.0,NVDA,4815747
20260220,09:56:05,20260220-09:55:59,188.02,188.01,188.02,40000.0,20000.0,13451300.0,NVDA,4815747
20260220,09:57:06,20260220-09:56:59,187.96,187.95,187.97,140000.0,40000.0,13857500.0,NVDA,4815747
20260220,09:58:02,20260220-09:57:59,188.32,188.3,188.32,80000.0,60000.0,14454900.0,NVDA,4815747
20260220,09:59:03,20260220-09:58:59,188.05,188.03,188.07,110000.0,90000.0,15020100.0,NVDA,4815747
20260220,10:00:04,20260220-09:59:59,188.07,188.04,188.08,30000.0,30000.0,15281900.0,NVDA,4815747
20260220,10:01:07,20260220-10:00:59,188.32,188.31,188.34,40000.0,90000.0,15781900.0,NVDA,4815747
20260220,10:02:04,20260220-10:01:59,188.57,188.56,188.58,30000.0,160000.0,16404000.0,NVDA,4815747
20260220,10:03:06,20260220-10:02:59,188.13,188.13,188.14,10000.0,10000.0,17020900.0,NVDA,4815747
20260220,10:04:03,20260220-10:03:59,188.15,188.14,188.16,90000.0,90000.0,17563300.0,NVDA,4815747
20260220,10:05:05,20260220-10:04:59,188.02,188.02,188.03,30000.0,120000.0,18057400.0,NVDA,4815747
