date,time,_updated,last,bid,ask,bid_sz,ask_sz,volume,symbol,conid
20260109,09:30:06,20260109-09:30:03,120.38,120.37,120.39,50000,10000,177800,UPRO,61228752
20260109,09:31:02,20260109-09:30:59,120.4,120.36,120.38,10000,20000,182900,UPRO,61228752
20260109,09:32:05,20260109-09:32:02,120.31,120.29,120.31,10000,10000,183500,UPRO,61228752
20260109,09:33:06,20260109-09:33:03,120.22,120.21,120.22,20000,40000,183900,UPRO,61228752
20260109,09:34:02,20260109-09:33:59,120.07,120.05,120.07,10000,60000,187600,UPRO,61228752
20260109,09:35:05,20260109-09:35:05,120.01,120.04,120.06,10000,60000,191700,UPRO,61228752
20260109,09:36:02,20260109-09:35:59,119.94,120.0,120.03,60000,30000,195500,UPRO,61228752
20260109,09:37:05,20260109-09:36:59,120.08,120.04,120.08,70000,70000,196200,UPRO,61228752
20260109,09:38:03,20260109-09:38:02,119.86,119.84,119.87,110000,90000,200000,UPRO,61228752
20260109,09:39:00,20260109-09:38:59,119.94,119.93,119.96,10000,210000,202400,UPRO,61228752
20260109,09:40:02,20260109-09:40:01,120.04,120.0,120.06,60000,60000,204600,UPRO,61228752
20260109,09:41:05,20260109-09:40:59,120.0,119.97,120.0,100000,50000,205000,UPRO,61228752
20260109,09:42:02,20260109-09:41:59,119.9,119.92,119.95,50000,190000,207500,UPRO,61228752
20260109,09:43:05,20260109-09:43:00,119.87,119.91,119.95,70000,60000,209100,UPRO,61228752
20260109,09:44:01,20260109-09:43:59,119.87,119.95,119.98,140000,120000,210600,UPRO,61228752
20260109,09:45:04,20260109-09:45:02,119.86,119.89,119.92,40000,570000,237100,UPRO,61228752
20260109,09:46:03,20260109-09:45:59,120.0,119.99,120.02,60000,220000,256300,UPRO,61228752
20260109,09:47:00,20260109-09:46:59,119.94,119.97,120.01,270000,50000,284500,UPRO,61228752
20260109,09:48:03,20260109-09:47:59,119.97,119.96,119.99,120000,60000,305000,UPRO,61228752
20260109,09:49:00,20260109-09:48:59,120.14,120.09,120.12,170000,70000,329500,UPRO,61228752
20260109,09:50:03,20260109-09:49:59,120.06,120.05,120.07,10000,70000,353300,UPRO,61228752
20260109,09:51:05,20260109-09:51:03,120.2,120.23,120.25,120000,10000,380300,UPRO,61228752
20260109,09:52:02,20260109-09:51:57,120.33,120.32,120.33,10000,10000,397400,UPRO,61228752
20260109,09:53:05,20260109-09:53:04,120.53,120.53,120.55,30000,50000,430400,UPRO,61228752
20260109,09:54:02,20260109-09:53:59,120.54,120.52,120.54,100000,10000,448800,UPRO,61228752
20260109,09:55:05,20260109-09:54:59,120.6,120.59,120.61,10000,60000,513200,UPRO,61228752
20260109,09:56:02,20260109-09:55:59,120.59,120.6,120.62,10000,110000,532700,UPRO,61228752
20260109,09:57:05,20260109-09:57:04,120.62,120.55,120.57,50000,90000,544700,UPRO,61228752
20260109,09:58:01,20260109-09:57:59,120.56,120.53,120.55,30000,60000,556700,UPRO,61228752
20260109,09:59:03,20260109-09:58:59,120.39,120.4,120.43,70000,460000,569800,UPRO,61228752
20260109,10:00:06,20260109-10:00:03,120.34,120.28,120.3,170000,10000,593700,UPRO,61228752
20260109,10:01:03,20260109-10:00:59,120.23,120.25,120.27,60000,20000,622100,UPRO,61228752
