date,time,_updated,last,bid,ask,bid_sz,ask_sz,volume,symbol,conid
20260217,09:30:05,20260217-09:30:03,112.61,112.59,112.61,40000,100000,429200,UPRO,61228752
20260217,09:31:01,20260217-09:31:00,112.58,112.58,112.61,100000,100000,429600,UPRO,61228752
20260217,09:32:03,20260217-09:31:58,112.58,112.62,112.64,20000,40000,429800,UPRO,61228752
20260217,09:33:06,20260217-09:32:59,112.59,112.62,112.66,80000,160000,430100,UPRO,61228752
20260217,09:34:04,20260217-09:33:59,112.7,112.7,112.73,80000,90000,433100,UPRO,61228752
20260217,09:35:02,20260217-09:34:59,112.74,112.73,112.76,40000,110000,433900,UPRO,61228752
20260217,09:36:03,20260217-09:35:59,112.75,112.72,112.76,70000,90000,434900,UPRO,61228752
20260217,09:37:04,20260217-09:36:59,112.8,112.82,112.84,130000,20000,435400,UPRO,61228752
20260217,09:38:07,20260217-09:38:04,112.68,112.67,112.7,140000,20000,437900,UPRO,61228752
20260217,09:39:04,20260217-09:38:59,112.58,112.56,112.59,120000,20000,438500,UPRO,61228752
20260217,09:40:00,20260217-09:39:59,112.55,112.52,112.58,40000,10000,441300,UPRO,61228752
20260217,09:41:02,20260217-09:40:59,112.58,112.52,112.55,130000,100000,443600,UPRO,61228752
20260217,09:42:03,20260217-09:41:59,112.59,112.58,112.61,10000,40000,443900,UPRO,61228752
20260217,09:43:04,20260217-09:42:59,112.59,112.52,112.56,10000,60000,444000,UPRO,61228752
20260217,09:44:01,20260217-09:43:59,112.67,112.72,112.75,90000,60000,444800,UPRO,61228752
20260217,09:45:02,20260217-09:45:02,112.7,112.75,112.79,40000,510000,480400,UPRO,61228752
20260217,09:46:04,20260217-09:45:59,113.01,112.99,113.02,70000,70000,513900,UPRO,61228752
20260217,09:47:00,20260217-09:46:59,113.39,113.39,113.42,10000,40000,558200,UPRO,61228752
20260217,09:48:02,20260217-09:47:59,112.98,112.97,112.99,10000,10000,586400,UPRO,61228752
20260217,09:49:03,20260217-09:48:59,113.12,113.08,113.12,20000,40000,601100,UPRO,61228752
20260217,09:50:02,20260217-09:49:59,113.58,113.55,113.58,20000,80000,623900,UPRO,61228752
20260217,09:51:05,20260217-09:50:59,113.65,113.65,113.67,20000,50000,658300,UPRO,61228752
20260217,09:52:00,20260217-09:51:59,113.74,113.7,113.73,10000,90000,673300,UPRO,61228752
20260217,09:53:01,20260217-09:52:59,114.0,113.97,113.99,20000,10000,703700,UPRO,61228752
20260217,09:54:02,20260217-09:53:59,113.66,113.65,113.67,30000,20000,723300,UPRO,61228752
20260217,09:55:04,20260217-09:54:59,113.97,113.93,113.95,70000,10000,738700,UPRO,61228752
20260217,09:56:05,20260217-09:55:59,113.95,113.93,113.96,90000,30000,770500,UPRO,61228752
20260217,09:57:00,20260217-09:56:59,113.76,113.77,113.8,90000,60000,799100,UPRO,61228752
20260217,09:58:02,20260217-09:57:59,113.49,113.46,113.49,40000,10000,823000,UPRO,61228752
20260217,09:59:03,20260217-09:58:59,113.2,113.18,113.21,100000,70000,845800,UPRO,61228752
20260217,10:00:04,20260217-10:00:00,113.06,113.05,113.08,50000,70000,861100,UPRO,61228752
20260217,10:01:05,20260217-10:01:05,112.73,112.74,112.77,120000,90000,906600,UPRO,61228752
20260217,10:02:01,20260217-10:01:59,112.96,112.98,113.01,30000,60000,920200,UPRO,61228752
20260217,10:03:02,20260217-10:02:59,112.63,112.59,112.62,30000,30000,949000,UPRO,61228752
20260217,10:04:04,20260217-10:03:59,112.81,112.79,112.81,10000,30000,979900,UPRO,61228752
20260217,10:05:00,20260217-10:04:59,112.85,112.81,112.84,50000,10000,998000,UPRO,61228752
20260217,10:06:02,20260217-10:05:59,111.96,111.94,111.97,50000,20000,1065200,UPRO,61228752
20260217,10:07:04,20260217-10:06:59,112.03,111.95,111.98,10000,20000,1108700,UPRO,61228752
20260217,10:08:06,20260217-10:07:59,111.9,111.88,111.9,40000,10000,1128100,UPRO,61228752
