date,time,_updated,last,bid,ask,bid_sz,ask_sz,volume,symbol,conid
20260120,09:30:00,20260120-09:29:55,114.7,,,,,,UPRO,61228752
20260120,09:31:03,20260120-09:30:59,114.72,114.74,114.76,10000.0,30000.0,632400.0,UPRO,61228752
20260120,09:32:01,20260120-09:31:59,114.79,114.74,114.77,50000.0,60000.0,633200.0,UPRO,61228752
20260120,09:33:03,20260120-09:32:59,114.71,114.68,114.7,20000.0,10000.0,633200.0,UPRO,61228752
20260120,09:34:00,20260120-09:33:59,114.55,114.53,114.56,40000.0,50000.0,638300.0,UPRO,61228752
20260120,09:35:03,20260120-09:34:59,114.54,114.53,114.56,10000.0,60000.0,638800.0,UPRO,61228752
20260120,09:36:06,20260120-09:36:04,114.5,114.47,114.5,60000.0,90000.0,642200.0,UPRO,61228752
20260120,09:37:02,20260120-09:36:59,114.63,114.6,114.63,60000.0,70000.0,644800.0,UPRO,61228752
20260120,09:38:05,20260120-09:37:59,114.61,114.6,114.62,10000.0,60000.0,646100.0,UPRO,61228752
20260120,09:39:04,20260120-09:38:59,114.58,114.61,114.64,70000.0,10000.0,646900.0,UPRO,61228752
20260120,09:40:03,20260120-09:40:00,114.62,114.62,114.64,30000.0,60000.0,648800.0,UPRO,61228752
20260120,09:41:06,20260120-09:40:59,114.71,114.7,114.73,60000.0,90000.0,669500.0,UPRO,61228752
20260120,09:42:03,20260120-09:41:59,114.5,114.47,114.49,40000.0,50000.0,674600.0,UPRO,61228752
20260120,09:43:06,20260120-09:42:59,114.59,114.57,114.6,50000.0,50000.0,675600.0,UPRO,61228752
20260120,09:44:02,20260120-09:43:59,114.8,114.81,114.84,90000.0,120000.0,677100.0,UPRO,61228752
20260120,09:45:05,20260120-09:45:04,114.82,114.79,114.82,540000.0,10000.0,806000.0,UPRO,61228752
20260120,09:46:02,20260120-09:46:01,115.32,115.3,115.33,120000.0,50000.0,860900.0,UPRO,61228752
20260120,09:47:05,20260120-09:47:02,115.14,115.09,115.13,50000.0,210000.0,892600.0,UPRO,61228752
20260120,09:48:01,20260120-09:47:59,114.85,114.82,114.86,50000.0,260000.0,909200.0,UPRO,61228752
20260120,09:49:04,20260120-09:49:02,115.11,115.09,115.13,180000.0,50000.0,965000.0,UPRO,61228752
20260120,09:50:00,20260120-09:50:00,115.41,115.4,115.42,50000.0,30000.0,972200.0,UPRO,61228752
20260120,09:51:03,20260120-09:51:00,115.14,115.09,115.13,80000.0,60000.0,1009000.0,UPRO,61228752
20260120,09:52:06,20260120-09:51:59,115.13,115.07,115.09,10000.0,10000.0,1025500.0,UPRO,61228752
20260120,09:53:03,20260120-09:52:59,115.09,115.08,115.1,10000.0,150000.0,1040100.0,UPRO,61228752
20260120,09:54:05,20260120-09:53:59,115.48,115.43,115.45,40000.0,90000.0,1055600.0,UPRO,61228752
20260120,09:55:02,20260120-09:54:59,115.31,115.31,115.33,70000.0,30000.0,1073500.0,UPRO,61228752
20260120,09:56:04,20260120-09:55:59,114.89,114.91,114.94,100000.0,50000.0,1120500.0,UPRO,61228752
20260120,09:57:01,20260120-09:56:59,115.18,115.19,115.21,80000.0,50000.0,1138000.0,UPRO,61228752
20260120,09:58:03,20260120-09:57:59,115.22,115.23,115.25,40000.0,10000.0,1155500.0,UPRO,61228752
20260120,09:59:00,20260120-09:58:59,115.32,115.38,115.4,120000.0,20000.0,1170900.0,UPRO,61228752
20260120,10:00:03,20260120-09:59:59,115.7,115.68,115.7,90000.0,40000.0,1194600.0,UPRO,61228752
20260120,10:01:05,20260120-10:00:59,115.41,115.41,115.42,50000.0,10000.0,1236800.0,UPRO,61228752
20260120,10:02:02,20260120-10:02:00,115.22,115.2,115.22,70000.0,50000.0,1252500.0,UPRO,61228752
20260120,10:03:05,20260120-10:02:59,115.02,115.01,115.02,10000.0,150000.0,1273600.0,UPRO,61228752
20260120,10:04:03,20260120-10:03:59,115.17,115.15,115.18,40000.0,280000.0,1290400.0,UPRO,61228752
20260120,10:05:06,20260120-10:04:59,115.25,115.23,115.24,20000.0,60000.0,1308200.0,UPRO,61228752
20260120,10:06:02,20260120-10:05:59,115.52,115.52,115.55,20000.0,90000.0,1331200.0,UPRO,61228752
20260120,10:07:04,20260120-10:06:59,115.7,115.7,115.71,80000.0,250000.0,1369100.0,UPRO,61228752
20260120,10:08:00,20260120-10:07:59,115.58,115.57,115.59,30000.0,100000.0,1396900.0,UPRO,61228752
20260120,10:09:03,20260120-10:08:59,115.34,115.32,115.33,40000.0,10000.0,1422200.0,UPRO,61228752
20260120,10:10:06,20260120-10:10:03,115.27,115.26,115.27,10000.0,10000.0,1434700.0,UPRO,61228752
20260120,10:11:02,20260120-10:10:59,115.25,115.23,115.25,40000.0,80000.0,1444000.0,UPRO,61228752
20260120,10:12:05,20260120-10:11:59,115.21,115.18,115.19,20000.0,10000.0,1455600.0,UPRO,61228752
