date,time,_updated,last,bid,ask,bid_sz,ask_sz,volume,symbol,conid
20260327,09:30:04,20260327-09:30:01,93.42,93.41,93.44,20000,50000,375025866015,UPRO,61228752
20260327,09:31:05,20260327-09:30:59,93.5,93.51,93.54,10000,20000,377900866015,UPRO,61228752
20260327,09:32:05,20260327-09:32:05,93.63,93.54,93.58,10000,290000,379519935533,UPRO,61228752
20260327,09:33:02,20260327-09:32:59,93.51,93.55,93.59,10000,240000,380307935533,UPRO,61228752
20260327,09:34:01,20260327-09:33:59,93.51,93.59,93.63,280000,20000,380959935533,UPRO,61228752
20260327,09:35:01,20260327-09:34:59,93.51,93.59,93.62,100000,100000,381503935533,UPRO,61228752
20260327,09:36:06,20260327-09:36:06,93.72,93.76,93.79,130000,10000,384301935533,UPRO,61228752
20260327,09:37:03,20260327-09:36:59,93.8,93.76,93.8,50000,290000,386283935533,UPRO,61228752
20260327,09:38:04,20260327-09:37:59,93.72,93.69,93.73,290000,240000,387154935533,UPRO,61228752
20260327,09:39:06,20260327-09:39:01,93.66,93.66,93.7,260000,170000,390489935533,UPRO,61228752
20260327,09:40:02,20260327-09:39:59,93.79,93.8,93.86,70000,60000,391746017013,UPRO,61228752
20260327,09:41:04,20260327-09:41:02,93.93,93.89,93.94,50000,290000,39618108225,UPRO,61228752
20260327,09:42:05,20260327-09:41:59,93.92,93.93,93.98,50000,130000,396673188712,UPRO,61228752
20260327,09:43:06,20260327-09:43:05,93.88,93.89,93.95,70000,160000,400776188712,UPRO,61228752
20260327,09:44:01,20260327-09:43:59,93.9,93.93,93.97,310000,280000,402426188712,UPRO,61228752
20260327,09:45:06,20260327-09:45:06,93.95,93.93,93.97,200000,160000,487325981153,UPRO,61228752
20260327,09:46:01,20260327-09:45:59,93.67,93.65,93.69,200000,540000,525193444886,UPRO,61228752
20260327,09:47:04,20260327-09:47:03,93.33,93.32,93.34,20000,200000,57633570594,UPRO,61228752
20260327,09:48:06,20260327-09:47:59,93.35,93.33,93.35,10000,90000,62092457603,UPRO,61228752
20260327,09:49:01,20260327-09:48:59,93.2,93.19,93.2,10000,10000,675723178915,UPRO,61228752
20260327,09:50:07,20260327-09:50:03,93.04,93.03,93.06,220000,130000,760418948047,UPRO,61228752
20260327,09:51:02,20260327-09:51:00,92.85,92.84,92.86,10000,240000,79507063384,UPRO,61228752
20260327,09:52:03,20260327-09:52:00,92.76,92.74,92.77,240000,10000,844108891961,UPRO,61228752
20260327,09:53:04,20260327-09:52:59,93.12,93.1,93.14,260000,130000,862095975423,UPRO,61228752
20260327,09:54:04,20260327-09:53:59,93.2,93.22,93.25,10000,100000,874216371733,UPRO,61228752
