date,time,_updated,last,bid,ask,bid_sz,ask_sz,volume,symbol,conid
20260306,09:30:06,20260306-09:29:51,108.21,,,,,,UPRO,61228752
20260306,09:31:06,20260306-09:30:59,108.25,108.19,108.25,50000.0,80000.0,588154.0,UPRO,61228752
20260306,09:32:06,20260306-09:31:59,108.19,108.28,108.32,10000.0,10000.0,588819.0,UPRO,61228752
20260306,09:33:01,20260306-09:32:59,108.25,108.15,108.19,10000.0,10000.0,590827.0,UPRO,61228752
20260306,09:34:02,20260306-09:33:59,108.05,108.15,108.2,10000.0,160000.0,593358.0,UPRO,61228752
20260306,09:35:04,20260306-09:35:03,108.17,108.15,108.19,30000.0,10000.0,594194.0,UPRO,61228752
20260306,09:36:07,20260306-09:35:59,108.12,108.25,108.29,50000.0,50000.0,596374.0,UPRO,61228752
20260306,09:37:01,20260306-09:36:59,108.37,108.36,108.4,50000.0,90000.0,598750.0,UPRO,61228752
20260306,09:38:04,20260306-09:37:59,108.45,108.43,108.47,50000.0,30000.0,604909.0,UPRO,61228752
20260306,09:39:05,20260306-09:39:04,108.23,108.26,108.3,30000.0,50000.0,607758.0,UPRO,61228752
20260306,09:40:02,20260306-09:40:02,108.24,108.23,108.28,10000.0,50000.0,609717.0,UPRO,61228752
20260306,09:41:06,20260306-09:40:59,108.38,108.36,108.4,50000.0,50000.0,613717.0,UPRO,61228752
20260306,09:42:06,20260306-09:41:59,108.36,108.32,108.36,50000.0,80000.0,617344.0,UPRO,61228752
20260306,09:43:04,20260306-09:42:59,108.33,108.36,108.42,80000.0,130000.0,618851.0,UPRO,61228752
20260306,09:44:06,20260306-09:44:04,108.56,108.54,108.59,110000.0,170000.0,622906.0,UPRO,61228752
20260306,09:45:01,20260306-09:45:01,108.62,108.63,108.65,380000.0,50000.0,674132.0,UPRO,61228752
20260306,09:46:02,20260306-09:46:01,108.29,108.32,108.37,200000.0,100000.0,756016.0,UPRO,61228752
20260306,09:47:05,20260306-09:47:01,108.16,108.15,108.17,40000.0,20000.0,782810.0,UPRO,61228752
20260306,09:48:02,20260306-09:47:59,108.32,108.3,108.32,10000.0,10000.0,811520.0,UPRO,61228752
20260306,09:49:07,20260306-09:49:02,108.01,107.98,108.0,120000.0,30000.0,873444.0,UPRO,61228752
20260306,09:50:02,20260306-09:50:02,108.15,108.13,108.16,100000.0,100000.0,899492.0,UPRO,61228752
20260306,09:51:05,20260306-09:51:00,107.47,107.44,107.47,80000.0,40000.0,946589.0,UPRO,61228752
20260306,09:52:03,20260306-09:51:59,107.3,107.3,107.32,100000.0,40000.0,1022380.0,UPRO,61228752
20260306,09:53:02,20260306-09:52:59,107.34,107.32,107.34,10000.0,50000.0,1088404.0,UPRO,61228752
20260306,09:54:02,20260306-09:53:59,107.77,107.74,107.76,20000.0,140000.0,1118069.0,UPRO,61228752
20260306,09:55:03,20260306-09:54:59,107.51,107.49,107.51,80000.0,20000.0,1151915.0,UPRO,61228752
20260306,09:56:05,20260306-09:56:00,107.4,107.39,107.41,20000.0,60000.0,1180383.0,UPRO,61228752
20260306,09:57:06,20260306-09:56:59,107.71,107.68,107.7,10000.0,270000.0,1202974.0,UPRO,61228752
20260306,09:58:02,20260306-09:57:59,107.47,107.51,107.54,20000.0,120000.0,1223679.0,UPRO,61228752
20260306,09:59:04,20260306-09:58:59,107.46,107.5,107.53,20000.0,100000.0,1251842.0,UPRO,61228752
20260306,10:00:05,20260306-09:59:59,107.44,107.43,107.44,20000.0,20000.0,1274932.0,UPRO,61228752
20260306,10:01:04,20260306-10:00:59,107.52,107.45,107.47,20000.0,90000.0,1304599.0,UPRO,61228752
20260306,10:02:06,20260306-10:02:05,107.15,107.15,107.16,50000.0,20000.0,1352935.0,UPRO,61228752
20260306,10:03:02,20260306-10:03:00,107.28,107.2,107.23,50000.0,80000.0,1417294.0,UPRO,61228752
20260306,10:04:02,20260306-10:03:59,107.35,107.37,107.39,80000.0,40000.0,1431060.0,UPRO,61228752
20260306,10:05:01,20260306-10:04:59,107.31,107.3,107.32,10000.0,100000.0,1448909.0,UPRO,61228752
20260306,10:06:01,20260306-10:05:59,107.47,107.48,107.5,10000.0,40000.0,1505652.0,UPRO,61228752
20260306,10:07:06,20260306-10:06:59,107.81,107.81,107.84,40000.0,40000.0,1543749.0,UPRO,61228752
20260306,10:08:03,20260306-10:07:59,107.47,107.51,107.53,90000.0,20000.0,1565060.0,UPRO,61228752
20260306,10:09:03,20260306-10:08:59,107.38,107.34,107.36,20000.0,10000.0,1584866.0,UPRO,61228752
20260306,10:10:07,20260306-10:09:59,107.32,107.3,107.32,270000.0,100000.0,1606945.0,UPRO,61228752
20260306,10:11:03,20260306-10:10:59,107.22,107.2,107.22,60000.0,20000.0,1627017.0,UPRO,61228752
20260306,10:12:03,20260306-10:11:59,107.19,107.19,107.21,20000.0,40000.0,1658943.0,UPRO,61228752
20260306,10:13:01,20260306-10:12:59,107.18,107.16,107.17,10000.0,40000.0,1673504.0,UPRO,61228752
20260306,10:14:01,20260306-10:13:59,106.98,106.97,106.99,20000.0,10000.0,1681242.0,UPRO,61228752
20260306,10:15:04,20260306-10:15:00,107.41,107.38,107.41,10000.0,10000.0,1732275.0,UPRO,61228752
20260306,10:16:04,20260306-10:16:00,108.07,108.03,108.06,20000.0,20000.0,1771788.0,UPRO,61228752
20260306,10:17:03,20260306-10:16:59,108.06,108.11,108.13,10000.0,20000.0,1791492.0,UPRO,61228752
20260306,10:18:05,20260306-10:17:59,108.36,108.34,108.37,20000.0,70000.0,1823005.0,UPRO,61228752
20260306,10:19:06,20260306-10:19:06,108.11,108.11,108.13,20000.0,10000.0,1853620.0,UPRO,61228752
20260306,10:20:01,20260306-10:19:59,108.35,108.34,108.36,20000.0,80000.0,1871076.0,UPRO,61228752
20260306,10:21:01,20260306-10:20:59,108.0,108.0,108.02,40000.0,40000.0,1888662.0,UPRO,61228752
