date,time,_updated,last,bid,ask,bid_sz,ask_sz,volume,symbol,conid
20260218,09:30:06,20260218-09:30:03,114.69,114.74,114.77,90000,20000,331400,UPRO,61228752
20260218,09:31:01,20260218-09:30:59,114.69,114.73,114.76,80000,90000,331500,UPRO,61228752
20260218,09:32:02,20260218-09:31:59,114.69,114.73,114.76,10000,20000,331600,UPRO,61228752
20260218,09:33:04,20260218-09:32:59,114.83,114.92,114.94,40000,50000,331700,UPRO,61228752
20260218,09:34:00,20260218-09:33:59,114.85,114.82,114.85,100000,70000,332100,UPRO,61228752
20260218,09:35:02,20260218-09:35:00,114.82,114.81,114.82,10000,10000,334800,UPRO,61228752
20260218,09:36:03,20260218-09:36:02,114.82,114.82,114.84,50000,150000,336000,UPRO,61228752
20260218,09:37:05,20260218-09:36:59,114.86,114.83,114.86,50000,100000,336300,UPRO,61228752
20260218,09:38:00,20260218-09:37:59,114.84,114.79,114.81,10000,60000,338100,UPRO,61228752
20260218,09:39:02,20260218-09:39:01,114.8,114.84,114.88,140000,130000,339100,UPRO,61228752
20260218,09:40:04,20260218-09:40:00,114.81,114.78,114.82,50000,10000,339800,UPRO,61228752
20260218,09:41:05,20260218-09:41:01,114.81,114.8,114.81,80000,20000,340300,UPRO,61228752
20260218,09:42:00,20260218-09:41:59,114.71,114.73,114.76,70000,130000,341800,UPRO,61228752
20260218,09:43:02,20260218-09:42:59,114.73,114.76,114.8,60000,80000,342600,UPRO,61228752
20260218,09:44:03,20260218-09:43:59,114.77,114.83,114.86,90000,40000,343200,UPRO,61228752
20260218,09:45:04,20260218-09:45:04,114.7,114.65,114.69,30000,40000,394700,UPRO,61228752
20260218,09:46:00,20260218-09:45:59,114.25,114.23,114.27,90000,200000,467300,UPRO,61228752
20260218,09:47:02,20260218-09:46:59,114.68,114.67,114.69,10000,10000,519400,UPRO,61228752
20260218,09:48:04,20260218-09:47:59,114.46,114.44,114.46,150000,10000,551900,UPRO,61228752
20260218,09:49:05,20260218-09:48:59,114.64,114.62,114.63,10000,10000,579500,UPRO,61228752
20260218,09:50:00,20260218-09:49:59,114.43,114.42,114.44,20000,50000,616100,UPRO,61228752
20260218,09:51:02,20260218-09:50:59,114.52,114.5,114.51,20000,10000,674800,UPRO,61228752
20260218,09:52:04,20260218-09:51:59,114.46,114.46,114.48,70000,60000,700300,UPRO,61228752
20260218,09:53:06,20260218-09:53:00,114.39,114.4,114.42,50000,20000,713500,UPRO,61228752
20260218,09:54:01,20260218-09:53:59,114.89,114.88,114.89,10000,10000,743000,UPRO,61228752
20260218,09:55:04,20260218-09:54:59,114.81,114.79,114.8,10000,10000,765800,UPRO,61228752
20260218,09:56:05,20260218-09:55:59,114.84,114.85,114.86,10000,90000,786000,UPRO,61228752
20260218,09:57:01,20260218-09:56:59,115.05,115.04,115.06,80000,20000,802600,UPRO,61228752
20260218,09:58:05,20260218-09:58:03,115.15,115.15,115.17,40000,80000,833000,UPRO,61228752
20260218,09:59:00,20260218-09:58:59,115.35,115.33,115.34,10000,30000,863700,UPRO,61228752
20260218,10:00:02,20260218-09:59:59,115.18,115.17,115.18,20000,10000,901200,UPRO,61228752
20260218,10:01:01,20260218-10:00:59,115.29,115.28,115.3,50000,40000,925500,UPRO,61228752
20260218,10:02:03,20260218-10:01:59,114.96,115.01,115.02,10000,20000,942700,UPRO,61228752
20260218,10:03:04,20260218-10:02:59,115.0,114.97,114.98,10000,10000,966100,UPRO,61228752
20260218,10:04:05,20260218-10:03:59,114.7,114.68,114.69,10000,10000,1016000,UPRO,61228752
20260218,10:05:01,20260218-10:04:59,114.54,114.54,114.55,20000,10000,1043800,UPRO,61228752
20260218,10:06:02,20260218-10:05:59,114.55,114.51,114.52,10000,10000,1059900,UPRO,61228752
20260218,10:07:04,20260218-10:06:59,114.57,114.55,114.56,10000,10000,1072300,UPRO,61228752
20260218,10:08:05,20260218-10:07:59,114.96,114.96,114.97,10000,10000,1089100,UPRO,61228752
20260218,10:09:01,20260218-10:09:00,114.98,114.97,114.99,10000,140000,1097100,UPRO,61228752
20260218,10:10:02,20260218-10:09:59,115.32,115.3,115.31,10000,10000,1131700,UPRO,61228752
20260218,10:11:03,20260218-10:10:59,115.5,115.46,115.47,50000,10000,1147800,UPRO,61228752
20260218,10:12:05,20260218-10:11:59,115.55,115.58,115.59,10000,70000,1162600,UPRO,61228752
20260218,10:13:00,20260218-10:12:59,115.65,115.64,115.65,10000,10000,1181900,UPRO,61228752
20260218,10:14:02,20260218-10:13:59,115.75,115.75,115.76,10000,10000,1192400,UPRO,61228752
20260218,10:15:04,20260218-10:15:00,115.76,115.75,115.76,40000,10000,1218700,UPRO,61228752
20260218,10:16:00,20260218-10:15:59,115.89,115.9,115.92,150000,10000,1230200,UPRO,61228752
20260218,10:17:05,20260218-10:17:00,116.1,116.08,116.09,10000,60000,1255800,UPRO,61228752
20260218,10:18:01,20260218-10:17:59,116.11,116.11,116.12,20000,10000,1262800,UPRO,61228752
20260218,10:19:02,20260218-10:18:59,116.12,116.14,116.15,120000,10000,1280100,UPRO,61228752
20260218,10:20:03,20260218-10:20:00,116.47,116.47,116.48,20000,10000,1309300,UPRO,61228752
20260218,10:21:05,20260218-10:21:03,116.67,116.66,116.67,10000,10000,1363500,UPRO,61228752
20260218,10:22:00,20260218-10:21:59,116.52,116.49,116.51,260000,20000,1390600,UPRO,61228752
20260218,10:23:01,20260218-10:22:59,116.45,116.46,116.47,10000,90000,1434300,UPRO,61228752
20260218,10:24:03,20260218-10:23:59,116.37,116.35,116.36,40000,10000,1448300,UPRO,61228752
20260218,10:25:04,20260218-10:24:59,116.41,116.36,116.37,270000,10000,1458200,UPRO,61228752
20260218,10:26:05,20260218-10:25:59,116.42,116.41,116.42,10000,10000,1468700,UPRO,61228752
20260218,10:27:01,20260218-10:27:00,116.3,116.29,116.31,40000,40000,1488000,UPRO,61228752
20260218,10:28:02,20260218-10:27:59,116.38,116.36,116.37,240000,10000,1509700,UPRO,61228752
20260218,10:29:04,20260218-10:28:59,116.58,116.57,116.58,90000,10000,1524000,UPRO,61228752
20260218,10:30:00,20260218-10:29:59,116.58,116.57,116.58,100000,10000,1545200,UPRO,61228752
20260218,10:31:02,20260218-10:30:59,116.64,116.62,116.63,200000,10000,1559700,UPRO,61228752
20260218,10:32:03,20260218-10:32:01,116.85,116.86,116.87,50000,20000,1580800,UPRO,61228752
20260218,10:33:06,20260218-10:33:03,116.86,116.85,116.86,20000,30000,1618500,UPRO,61228752
20260218,10:34:00,20260218-10:33:59,116.73,116.72,116.73,160000,10000,1659200,UPRO,61228752
20260218,10:35:02,20260218-10:34:59,116.63,116.63,116.64,60000,10000,1689100,UPRO,61228752
20260218,10:36:04,20260218-10:35:59,116.63,116.62,116.63,70000,10000,1706700,UPRO,61228752
20260218,10:37:01,20260218-10:36:59,116.69,116.7,116.71,100000,10000,1720300,UPRO,61228752
20260218,10:38:02,20260218-10:37:59,116.72,116.73,116.74,60000,10000,1726200,UPRO,61228752
20260218,10:39:04,20260218-10:38:59,116.71,116.7,116.71,10000,290000,1729600,UPRO,61228752
20260218,10:40:05,20260218-10:39:59,116.52,116.5,116.51,40000,10000,1739100,UPRO,61228752
20260218,10:41:01,20260218-10:40:59,116.51,116.51,116.53,40000,280000,1749700,UPRO,61228752
20260218,10:42:02,20260218-10:41:59,116.66,116.66,116.67,50000,40000,1756800,UPRO,61228752
20260218,10:43:03,20260218-10:42:59,116.62,116.66,116.67,10000,40000,1769800,UPRO,61228752
