date,time,_updated,last,bid,ask,bid_sz,ask_sz,volume,symbol,conid
20260304,09:30:03,20260304-09:30:03,113.47,113.45,113.49,80000,100000,508988,UPRO,61228752
20260304,09:32:05,20260304-09:32:03,113.48,113.48,113.53,190000,70000,510667,UPRO,61228752
20260304,09:33:01,20260304-09:33:00,113.36,113.33,113.36,130000,110000,511247,UPRO,61228752
20260304,09:34:01,20260304-09:33:59,113.51,113.54,113.57,90000,60000,514195,UPRO,61228752
20260304,09:35:03,20260304-09:34:59,113.57,113.59,113.62,80000,80000,515124,UPRO,61228752
20260304,09:36:05,20260304-09:35:59,113.68,113.7,113.73,180000,60000,521328,UPRO,61228752
20260304,09:37:00,20260304-09:36:59,113.6,113.56,113.59,50000,60000,522535,UPRO,61228752
20260304,09:38:03,20260304-09:37:59,113.4,113.38,113.41,90000,80000,524658,UPRO,61228752
20260304,09:39:05,20260304-09:38:59,113.44,113.43,113.46,60000,100000,524839,UPRO,61228752
20260304,09:40:01,20260304-09:40:00,113.4,113.35,113.38,10000,40000,526273,UPRO,61228752
20260304,09:41:03,20260304-09:41:00,113.18,113.15,113.18,140000,120000,529398,UPRO,61228752
20260304,09:42:06,20260304-09:42:03,112.99,113.01,113.04,180000,80000,533731,UPRO,61228752
20260304,09:43:02,20260304-09:43:00,113.11,113.08,113.13,120000,50000,542898,UPRO,61228752
20260304,09:44:03,20260304-09:44:03,112.98,113.08,113.11,190000,100000,544147,UPRO,61228752
20260304,09:45:06,20260304-09:45:04,112.86,112.85,112.87,40000,80000,613715,UPRO,61228752
20260304,09:46:02,20260304-09:45:59,113.5,113.44,113.47,120000,100000,656097,UPRO,61228752
20260304,09:47:04,20260304-09:46:59,113.17,113.16,113.18,20000,170000,702188,UPRO,61228752
20260304,09:48:06,20260304-09:47:59,113.28,113.26,113.28,20000,20000,744202,UPRO,61228752
20260304,09:49:01,20260304-09:48:59,113.34,113.37,113.39,20000,40000,835701,UPRO,61228752
20260304,09:50:02,20260304-09:49:59,113.46,113.45,113.48,40000,50000,856250,UPRO,61228752
20260304,09:51:04,20260304-09:50:59,112.79,112.78,112.81,10000,80000,933791,UPRO,61228752
20260304,09:52:00,20260304-09:51:59,112.51,112.51,112.53,10000,70000,978874,UPRO,61228752
20260304,09:53:03,20260304-09:52:59,112.76,112.69,112.71,10000,40000,999904,UPRO,61228752
20260304,09:54:05,20260304-09:53:59,112.6,112.55,112.58,10000,10000,1013096,UPRO,61228752
20260304,09:55:01,20260304-09:55:00,112.57,112.56,112.58,10000,10000,1028264,UPRO,61228752
20260304,09:56:03,20260304-09:55:59,112.33,112.34,112.36,10000,10000,1044898,UPRO,61228752
20260304,09:57:00,20260304-09:56:59,112.2,112.2,112.22,10000,80000,1062109,UPRO,61228752
20260304,09:58:01,20260304-09:57:59,112.19,112.17,112.19,10000,10000,1080807,UPRO,61228752
20260304,09:59:03,20260304-09:58:59,112.2,112.18,112.21,10000,10000,1095917,UPRO,61228752
20260304,10:00:04,20260304-10:00:01,112.17,112.17,112.19,10000,10000,1128976,UPRO,61228752
20260304,10:01:00,20260304-10:00:59,112.02,112.0,112.03,30000,10000,1141973,UPRO,61228752
20260304,10:02:03,20260304-10:01:59,112.38,112.41,112.43,10000,10000,1152749,UPRO,61228752
20260304,10:03:05,20260304-10:02:59,112.32,112.3,112.33,200000,10000,1187249,UPRO,61228752
20260304,10:04:00,20260304-10:03:59,112.61,112.6,112.62,10000,10000,1206306,UPRO,61228752
